county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated,epoch
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,5.4,10.8,132.70,Medium,2022-09-15,1663225200
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.0,10.3,111.68,Medium,2022-09-15,1663225200
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,3.1,8.1,147.47,Low,2022-09-15,1663225200
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,4.4,6.7,109.09,Low,2022-09-15,1663225200
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,5.5,11.4,81.40,Medium,2022-09-15,1663225200
Tulare County,06107,California,466195,789,"Tulare, CA",466195,8.4,8.2,168.17,Low,2022-09-15,1663225200
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,6.0,10.3,167.04,Medium,2022-09-15,1663225200
Ventura County,06111,California,846006,790,"Ventura, CA",846006,5.3,9.1,126.00,Low,2022-09-15,1663225200
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,6.2,10.3,76.64,Medium,2022-09-15,1663225200
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,3.1,8.1,137.29,Low,2022-09-15,1663225200
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,2.2,5.3,0.00,Low,2022-09-29,1664434800
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,5.6,9.3,66.15,Low,2022-09-29,1664434800
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.6,10.1,32.49,Medium,2022-09-29,1664434800
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,5.6,9.3,66.92,Low,2022-09-29,1664434800
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,3.6,5.4,114.78,Low,2022-09-29,1664434800
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,2.9,4.9,91.64,Low,2022-09-29,1664434800
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,5.6,7.1,48.31,Low,2022-09-29,1664434800
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,3.7,8.5,75.73,Low,2022-09-29,1664434800
Orange County,06059,California,3175692,825,"Orange, CA",3175692,2.7,6.7,62.98,Low,2022-09-29,1664434800
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,2.5,3.9,86.79,Low,2022-09-29,1664434800
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.6,10.1,74.25,Medium,2022-09-29,1664434800
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,5.2,8.8,67.12,Low,2022-09-29,1664434800
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,4.0,4.7,88.05,Low,2022-09-29,1664434800
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,3.3,5.8,115.39,Low,2022-09-29,1664434800
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,5.6,7.1,73.89,Low,2022-09-29,1664434800
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,1.7,6.1,68.69,Low,2022-09-29,1664434800
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,2.0,9.2,72.62,Low,2022-09-29,1664434800
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,3.2,4.9,83.20,Low,2022-09-29,1664434800
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,1.7,6.1,74.44,Low,2022-09-29,1664434800
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,2.5,3.9,55.82,Low,2022-09-29,1664434800
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,3.9,6.0,63.69,Low,2022-09-29,1664434800
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,3.3,4.8,52.28,Low,2022-09-29,1664434800
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,3.3,4.8,62.49,Low,2022-09-29,1664434800
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,3.9,6.0,85.48,Low,2022-09-29,1664434800
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,4.0,11.4,73.50,Medium,2022-09-29,1664434800
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,4.0,7.4,75.55,Low,2022-09-29,1664434800
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,4.0,7.4,91.78,Low,2022-09-29,1664434800
Ventura County,06111,California,846006,790,"Ventura, CA",846006,3.2,5.3,87.23,Low,2022-09-29,1664434800
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,3.3,5.8,64.14,Low,2022-09-29,1664434800
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,5.2,8.8,56.52,Low,2022-09-29,1664434800
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,5.6,7.1,82.67,Low,2022-09-29,1664434800
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,4.6,3.7,102.54,Low,2022-09-29,1664434800
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.0,0.0,83.15,Low,2022-09-29,1664434800
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,3.9,6.9,54.36,Low,2022-09-29,1664434800
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,4.0,7.4,46.50,Low,2022-09-29,1664434800
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,4.0,7.4,119.56,Low,2022-09-29,1664434800
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.0,0.0,41.54,Low,2022-09-29,1664434800
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,5.2,8.8,63.26,Low,2022-09-29,1664434800
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,5.2,8.8,86.92,Low,2022-09-29,1664434800
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,4.0,4.7,72.95,Low,2022-09-29,1664434800
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.0,5.8,95.10,Low,2022-09-29,1664434800
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,4.4,4.0,62.95,Low,2022-09-29,1664434800
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,3.9,6.9,80.20,Low,2022-09-29,1664434800
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,4.6,8.9,56.98,Low,2022-09-29,1664434800
Tulare County,06107,California,466195,789,"Tulare, CA",466195,5.0,2.6,64.14,Low,2022-09-29,1664434800
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,4.0,4.7,80.60,Low,2022-09-29,1664434800
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,4.1,15.6,64.72,Medium,2022-09-29,1664434800
Kern County,06029,California,900202,807,"Kern, CA",900202,4.7,5.7,185.51,Low,2022-09-29,1664434800
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,4.6,8.9,45.24,Low,2022-09-29,1664434800
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,3.9,6.0,54.83,Low,2022-09-29,1664434800
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,3.9,6.9,57.35,Low,2022-09-29,1664434800
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,3.6,5.4,72.97,Low,2022-09-29,1664434800
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,3.0,5.8,184.90,Low,2022-09-29,1664434800
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,4.6,8.9,68.30,Low,2022-09-29,1664434800
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,3.2,4.9,33.28,Low,2022-09-29,1664434800
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,3.7,8.5,66.35,Low,2022-09-29,1664434800
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,5.6,9.3,70.68,Low,2022-09-29,1664434800
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.6,10.1,71.19,Medium,2022-09-29,1664434800
Alpine County,06003,California,1129,701,"Washoe (Reno), NV - Carson City, NV",692072,1.7,2.7,88.57,Low,2022-10-06,1665039600
Butte County,06007,California,219186,697,"Butte (Chico), CA - Tehama, CA",312663,3.3,6.4,55.66,Low,2022-10-06,1665039600
Colusa County,06011,California,21547,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.4,5.6,78.90,Low,2022-10-06,1665039600
Glenn County,06021,California,28393,697,"Butte (Chico), CA - Tehama, CA",312663,3.3,6.4,24.65,Low,2022-10-06,1665039600
Imperial County,06025,California,181215,774,"San Diego (San Diego), CA - Imperial, CA",3519545,3.2,4.2,121.40,Low,2022-10-06,1665039600
Los Angeles County,06037,California,10039107,824,"Los Angeles (Los Angeles), CA",10039107,2.9,5.1,83.33,Low,2022-10-06,1665039600
Madera County,06039,California,157327,718,"Fresno (Fresno), CA - Kings, CA",1309368,5.2,7.4,61.66,Low,2022-10-06,1665039600
Marin County,06041,California,258826,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,3.1,5.4,76.89,Low,2022-10-06,1665039600
Orange County,06059,California,3175692,825,"Orange, CA",3175692,3.0,6.5,58.73,Low,2022-10-06,1665039600
San Bernardino County,06071,California,2180085,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,2.3,4.1,102.38,Low,2022-10-06,1665039600
Sutter County,06101,California,96971,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.4,5.6,63.94,Low,2022-10-06,1665039600
Yolo County,06113,California,220500,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,4.8,8.2,79.37,Low,2022-10-06,1665039600
Amador County,06005,California,39752,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,3.4,3.9,35.22,Low,2022-10-06,1665039600
Contra Costa County,06013,California,1153526,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,2.7,5.1,83.57,Low,2022-10-06,1665039600
Kings County,06031,California,152940,718,"Fresno (Fresno), CA - Kings, CA",1309368,5.2,7.4,68.65,Low,2022-10-06,1665039600
Lassen County,06035,California,30573,780,"Lassen, CA - Plumas, CA",49380,2.6,10.1,16.35,Medium,2022-10-06,1665039600
Mendocino County,06045,California,86749,811,"Mendocino, CA",86749,3.4,8.1,70.32,Low,2022-10-06,1665039600
Nevada County,06057,California,99755,753,"Nevada, CA - Sierra, CA",102760,3.9,7.8,83.20,Low,2022-10-06,1665039600
Plumas County,06063,California,18807,780,"Lassen, CA - Plumas, CA",49380,2.6,10.1,127.61,Medium,2022-10-06,1665039600
Riverside County,06065,California,2470546,768,"San Bernardino, CA - Riverside (Riverside), CA",4650631,2.3,4.1,46.95,Low,2022-10-06,1665039600
San Benito County,06069,California,62808,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,3.4,5.7,66.87,Low,2022-10-06,1665039600
San Luis Obispo County,06079,California,283111,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,2.2,2.1,68.52,Low,2022-10-06,1665039600
Santa Barbara County,06083,California,446499,781,"Santa Barbara (Santa Barbara), CA - San Luis Obispo, CA",729610,2.2,2.1,64.05,Low,2022-10-06,1665039600
Santa Clara County,06085,California,1927852,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,3.4,5.7,78.90,Low,2022-10-06,1665039600
Siskiyou County,06093,California,43539,752,"Jackson (Medford), OR - Josephine, OR",351970,3.9,10.5,36.75,Medium,2022-10-06,1665039600
Stanislaus County,06099,California,550660,737,"Stanislaus (Modesto), CA - Merced, CA",900021,4.3,8.4,75.91,Low,2022-10-06,1665039600
Tuolumne County,06109,California,54478,737,"Stanislaus (Modesto), CA - Merced, CA",900021,4.3,8.4,88.11,Low,2022-10-06,1665039600
Ventura County,06111,California,846006,790,"Ventura, CA",846006,3.5,6.3,69.03,Low,2022-10-06,1665039600
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,3.4,3.9,58.82,Low,2022-10-06,1665039600
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,2.9,2.6,39.55,Low,2022-10-06,1665039600
Kern County,06029,California,900202,807,"Kern, CA",900202,3.9,4.7,172.29,Low,2022-10-06,1665039600
Modoc County,06049,California,8841,710,"Shasta (Redding), CA - Trinity, CA",201206,3.4,6.5,67.87,Low,2022-10-06,1665039600
Monterey County,06053,California,434061,751,"Santa Clara (San Jose), CA - Monterey, CA",2424721,3.4,5.7,46.31,Low,2022-10-06,1665039600
Napa County,06055,California,137744,746,"Solano (Vallejo), CA - Napa, CA",649773,3.8,5.7,68.24,Low,2022-10-06,1665039600
San Diego County,06073,California,3338330,774,"San Diego (San Diego), CA - Imperial, CA",3519545,3.2,4.2,98.85,Low,2022-10-06,1665039600
San Francisco County,06075,California,881549,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,2.6,5.9,57.29,Low,2022-10-06,1665039600
Shasta County,06089,California,180080,710,"Shasta (Redding), CA - Trinity, CA",201206,3.4,6.5,59.42,Low,2022-10-06,1665039600
Sierra County,06091,California,3005,753,"Nevada, CA - Sierra, CA",102760,3.9,7.8,33.28,Low,2022-10-06,1665039600
Sonoma County,06097,California,494336,764,"Sonoma (Santa Rosa), CA - Marin, CA",753162,3.1,5.4,68.78,Low,2022-10-06,1665039600
Tehama County,06103,California,65084,697,"Butte (Chico), CA - Tehama, CA",312663,3.3,6.4,73.75,Low,2022-10-06,1665039600
Yuba County,06115,California,78668,690,"Sutter (Yuba City), CA - Yuba, CA",197186,2.4,5.6,47.03,Low,2022-10-06,1665039600
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,2.7,5.1,74.37,Low,2022-10-06,1665039600
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,4.8,8.2,55.49,Low,2022-10-06,1665039600
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,5.2,7.4,73.57,Low,2022-10-06,1665039600
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,2.4,5.9,86.31,Low,2022-10-06,1665039600
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,1.6,3.1,127.50,Low,2022-10-06,1665039600
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,3.8,5.7,62.13,Low,2022-10-06,1665039600
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,4.3,8.4,58.13,Low,2022-10-06,1665039600
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,4.3,8.4,55.10,Low,2022-10-06,1665039600
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,1.6,3.1,34.62,Low,2022-10-06,1665039600
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,4.8,8.2,60.75,Low,2022-10-06,1665039600
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,4.8,8.2,63.46,Low,2022-10-06,1665039600
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,3.4,3.9,59.70,Low,2022-10-06,1665039600
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,2.6,5.9,87.92,Low,2022-10-06,1665039600
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,4.4,3.7,94.80,Low,2022-10-06,1665039600
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,3.8,5.7,85.11,Low,2022-10-06,1665039600
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,3.4,6.5,48.84,Low,2022-10-06,1665039600
Tulare County,06107,California,466195,789,"Tulare, CA",466195,4.4,4.7,72.72,Low,2022-10-06,1665039600
Alameda County,06001,California,1671329,766,"Alameda (Oakland), CA - Contra Costa, CA",2824855,2.4,4.0,61.63,Low,2022-10-13,1665644400
El Dorado County,06017,California,192843,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,4.1,7.6,30.59,Low,2022-10-13,1665644400
Fresno County,06019,California,999101,718,"Fresno (Fresno), CA - Kings, CA",1309368,4.0,6.1,57.05,Low,2022-10-13,1665644400
Humboldt County,06023,California,135558,800,"Humboldt, CA",135558,3.0,8.9,75.98,Low,2022-10-13,1665644400
Inyo County,06027,California,18039,816,"Inyo, CA - Mono, CA",32483,0.3,0.0,55.44,Low,2022-10-13,1665644400
Lake County,06033,California,64386,746,"Solano (Vallejo), CA - Napa, CA",649773,3.5,6.5,35.72,Low,2022-10-13,1665644400
Mariposa County,06043,California,17203,737,"Stanislaus (Modesto), CA - Merced, CA",900021,5.0,6.3,17.44,Low,2022-10-13,1665644400
Merced County,06047,California,277680,737,"Stanislaus (Modesto), CA - Merced, CA",900021,5.0,6.3,39.61,Low,2022-10-13,1665644400
Mono County,06051,California,14444,816,"Inyo, CA - Mono, CA",32483,0.3,0.0,6.92,Low,2022-10-13,1665644400
Placer County,06061,California,398329,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,4.1,7.6,46.19,Low,2022-10-13,1665644400
Sacramento County,06067,California,1552058,709,"Sacramento (Sacramento), CA - Placer, CA",2363730,4.1,7.6,53.03,Low,2022-10-13,1665644400
San Joaquin County,06077,California,762148,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,3.0,3.5,66.92,Low,2022-10-13,1665644400
San Mateo County,06081,California,766573,757,"San Francisco (San Francisco), CA - San Mateo, CA",1648122,2.7,5.4,71.10,Low,2022-10-13,1665644400
Santa Cruz County,06087,California,273213,802,"Santa Cruz, CA",273213,5.1,1.5,81.99,Low,2022-10-13,1665644400
Solano County,06095,California,447643,746,"Solano (Vallejo), CA - Napa, CA",649773,3.5,6.5,56.74,Low,2022-10-13,1665644400
Trinity County,06105,California,12285,710,"Shasta (Redding), CA - Trinity, CA",201206,3.4,10.4,56.98,Medium,2022-10-13,1665644400
Tulare County,06107,California,466195,789,"Tulare, CA",466195,3.3,3.2,40.11,Low,2022-10-13,1665644400
Calaveras County,06009,California,45905,750,"San Joaquin (Stockton), CA - Calaveras, CA",847805,3.0,3.5,34.85,Low,2022-10-13,1665644400
Del Norte County,06015,California,27812,738,"Coos, OR - Del Norte, CA",115224,3.2,6.1,28.76,Low,2022-10-13,1665644400
Kern County,06029,California,900202,807,"Kern, CA",900202,3.2,5.6,135.53,Low,2022-10-13,1665644400
